hour,nonGF_alpha,GF_alpha
1,0.9314812548065976,0.06851874102050304
2,0.9031537229228211,0.09684627291329638
3,0.9999999855794484,1.0247589670837119e-8
4,1.0952242730726294,-0.09522427723738776
5,0.9999999856548181,1.013711155366847e-8
6,0.9999999853757338,1.0435822786488004e-8
7,0.9999999776635973,1.817413637036422e-8
8,0.7084207258504365,0.2915792699564862
9,0.5350523343413518,0.4649476615039825
10,0.1653381517971898,0.8346618440408491
11,0.11860068859875901,0.8813993072370951
12,0.3885542671131683,0.6114457287626198
13,0.4259280565139949,0.5740719393517223
14,0.5562418804282404,0.44375811536931814
15,0.08301481851905426,0.9169851773180635
16,0.10372323990738717,0.8962767559293368
17,0.330312679273184,0.6696873165214612
18,0.19587634445395882,0.8041236513267865
19,0.28299960942640645,0.717000386401332
20,0.37437187603441924,0.6256281197539746
21,0.33884980091309774,0.6611501949468425
22,0.5020119957235789,0.49798800001887883
23,0.5275348381271381,0.47246515775496645
24,0.6742555286134473,0.3257444667004888
