hour,windMW,nonGFMW,GFMW,demMW
1,610.0311142372557,1307.1629272201585,191.53596489133398,2108.73
2,655.3217493530594,1317.3082643364232,29.999993286539365,2002.63
3,702.6178510619021,871.3621481636413,9.735127517716419e-6,1573.98
4,736.1731044152962,462.0701533028048,32.65675280821893,1230.9
5,749.708472544041,501.2915290360037,8.934127989525441e-6,1251.0
6,753.9059021664464,528.1340995558536,8.672377119993529e-6,1282.04
7,747.02362188495,1031.5763736212143,1.2783925826402795e-5,1778.6
8,746.1063957302408,1497.8421196179384,100.08149059434749,2344.03
9,743.6153729415298,1566.639699168167,151.51493331918465,2461.77
10,738.6165630460594,1685.9229694807354,278.0404718809463,2702.58
11,730.1280682732677,1699.0182775808244,311.99365835848226,2741.14
12,713.7297360177888,1600.4068941751036,221.24337479370325,2535.38
13,683.6568567597017,1574.5515963308571,224.34155199358167,2482.55
14,668.9172308573036,1530.5013795858943,167.93139508539994,2367.35
15,668.6860351992178,1709.7694634447487,362.8445053116388,2741.3
16,671.9536770009402,1784.963826388772,418.3925000216292,2875.31
17,674.5063567948266,1587.520009323476,335.6036384794062,2597.63
18,675.2151623990535,1648.1599576720428,391.9748840463744,2715.35
19,678.9878133305833,1794.936246810566,405.88594328537226,2879.81
20,690.6519499304509,1712.0688878979738,586.7491652125483,2989.47
21,709.6531122514232,1748.8118255803445,541.5350652050333,3000.0
22,723.5076336660647,1627.370635590703,362.87173508851976,2713.75
23,714.3516314272617,1511.1519120767616,384.91646116315843,2610.42
24,689.7621949911952,1391.1882333273954,356.6395772606865,2437.59
