hour,prod1,prod2,prod3
1,6000.0,7999.9998,0.0001
2,6000.0,6923.6317,0.0001
3,6000.0,7183.8817,0.0001
4,6000.0,7340.4835,0.0001
5,6000.0,7394.9665,0.0001
6,6000.0,7202.4067,0.0001
7,6000.0,7105.5629,0.0001
8,6000.0,7332.2425,0.0001
9,6000.0,7432.8889,0.0001
10,6000.0,7425.9393,0.0001
11,5599.0392,7258.8364,0.0001
12,5566.1586,7502.3436,0.0001
13,5245.6567,7725.8979,0.0002
14,5418.44,7406.0197,660.2087
15,5385.1724,7554.4945,63.4006
16,4788.3012,6841.1396,1695.4376
17,4468.2738,6324.7307,2137.5415
18,4710.8917,6519.4904,2267.8755
19,4296.3656,6159.773,2370.2869
20,2165.2995,3417.608,2626.5093
21,825.5488,1079.9726,3476.4627
22,0.0002,610.7578,4026.4691
23,0.0001,1434.6593,3569.7521
24,0.0,1753.3113,3044.4324
